ticker,cap_tier,group,step_n_features,feature_combo,state,feature_index,feature_name,mu,sigma,occupancy_pct
AAPL,large,vol,1,daily return,0,0,daily return,-3.872323456884182e-06,0.03121645302000964,30.079042939542834
AAPL,large,vol,1,daily return,1,0,daily return,0.00186382756389906,0.013070992479855126,69.92095706045717
AAPL,large,vol,2,daily return + rolling volatility,0,0,daily return,0.0003133503126696604,0.030302549108393025,27.408673360393077
AAPL,large,vol,2,daily return + rolling volatility,0,1,rolling volatility,0.028138275936405777,0.009374259775989097,27.408673360393077
AAPL,large,vol,2,daily return + rolling volatility,1,0,daily return,0.0016711416025662845,0.014937203951831932,72.59132663960692
AAPL,large,vol,2,daily return + rolling volatility,1,1,rolling volatility,0.013997517493175649,0.004124018195094052,72.59132663960692
AAPL,large,vol,3,daily return + rolling volatility + absolute return,0,0,daily return,-0.013825584341210848,0.014641256022804292,47.019867549668874
AAPL,large,vol,3,daily return + rolling volatility + absolute return,0,1,rolling volatility,0.01815457210771231,0.009107825336295063,47.019867549668874
AAPL,large,vol,3,daily return + rolling volatility + absolute return,0,2,absolute return,0.013825584356911697,0.014641256007978146,47.019867549668874
AAPL,large,vol,3,daily return + rolling volatility + absolute return,1,0,daily return,0.014707957506271716,0.014683320974209862,52.980132450331126
AAPL,large,vol,3,daily return + rolling volatility + absolute return,1,1,rolling volatility,0.017770439254156917,0.008475316427162196,52.980132450331126
AAPL,large,vol,3,daily return + rolling volatility + absolute return,1,2,absolute return,0.014707957506271716,0.014683320974209862,52.980132450331126
AAPL,large,bb,1,20-day return,0,0,20-day return,-0.05400145800297912,0.059081483208946954,42.79630943931866
AAPL,large,bb,1,20-day return,1,0,20-day return,0.08190870576620969,0.050906296282527595,57.20369056068133
AAPL,large,bb,2,20-day return + 60-day return,0,0,20-day return,0.0014434821740266898,0.09477110711712287,49.18381831085876
AAPL,large,bb,2,20-day return + 60-day return,0,1,60-day return,-0.04569140926819637,0.09625656402440343,49.18381831085876
