ticker,cap_tier,feature,state,mu,sigma,occupancy_pct,sort_by
AAPL,large,daily return,0,0.0016246028098918148,0.012280182153556743,79.98246639392168,sigma
AAPL,large,daily return,1,-0.0005693207752173457,0.029381686040849675,20.017533606078317,sigma
AAPL,large,rolling volatility,0,0.0126525158561506,0.003666114516256915,72.93980128579778,sigma
AAPL,large,rolling volatility,1,0.024247405041081544,0.008062268636700929,27.060198714202222,sigma
AAPL,large,absolute return,0,0.0080489335693067,0.006185228332714723,82.84628872004676,sigma
AAPL,large,absolute return,1,0.026681046305878503,0.017247978894467046,17.153711279953242,sigma
AAPL,large,20-day return,0,-0.0362729179191722,0.05194458062931707,51.13968439509059,mean
AAPL,large,20-day return,1,0.08171167320154873,0.04709318733163349,48.86031560490941,mean
AAPL,large,60-day return,0,-0.0382483205424239,0.08648963396367053,49.35710111046172,mean
AAPL,large,60-day return,1,0.17170387762088088,0.09514973211918787,50.64289888953828,mean
AAPL,large,100-day return,0,-0.06546924021772414,0.10230436911025831,33.92752776154296,mean
AAPL,large,100-day return,1,0.21058734475664467,0.1344588993274175,66.07247223845705,mean
MRK,large,daily return,0,0.0007138224294250489,0.009657897816316676,93.98012857977791,sigma
MRK,large,daily return,1,-0.0002913589760318418,0.02723788807584768,6.019871420222092,sigma
MRK,large,rolling volatility,0,0.010302181085635666,0.003317846099224751,86.9666861484512,sigma
MRK,large,rolling volatility,1,0.020291068605112404,0.008097970361631616,13.033313851548803,sigma
MRK,large,absolute return,0,0.006566373986522681,0.00511326813090205,88.89538281706605,sigma
MRK,large,absolute return,1,0.021903477553344274,0.014839939880750103,11.104617182933957,sigma
MRK,large,20-day return,0,-0.0221629315562727,0.035690355762106545,57.97779076563413,mean
MRK,large,20-day return,1,0.05628249570939285,0.03044365689904164,42.02220923436587,mean
MRK,large,60-day return,0,-0.02490620587526065,0.04816219597477316,53.126826417299824,mean
MRK,large,60-day return,1,0.09430269529835791,0.051510598252550534,46.873173582700176,mean
MRK,large,100-day return,0,-0.004491081016216931,0.0604333494864303,66.54003506721216,mean
MRK,large,100-day return,1,0.1580322366855713,0.056553128513211315,33.45996493278784,mean
MSFT,large,daily return,0,0.0012038857034146672,0.011477163708943403,86.99590882524839,sigma
MSFT,large,daily return,1,0.0001390045697385224,0.02998023746110257,13.004091174751608,sigma
MSFT,large,rolling volatility,0,0.011637076332221035,0.003623191981712775,73.67036820572764,sigma
MSFT,large,rolling volatility,1,0.02296707475557349,0.00851650342179339,26.329631794272355,sigma
MSFT,large,absolute return,0,0.007501227403859224,0.005891531811560541,84.36586791350088,sigma
MSFT,large,absolute return,1,0.025529512076066577,0.017189840458232394,15.634132086499122,sigma
MSFT,large,20-day return,0,-0.03526622777703946,0.039844134752697345,40.94097019286967,mean
MSFT,large,20-day return,1,0.05527800251231916,0.04188192220590309,59.05902980713034,mean
MSFT,large,60-day return,0,-0.043548086562139016,0.05671093929513069,39.18760958503799,mean
MSFT,large,60-day return,1,0.11759083127315953,0.06514831482399776,60.81239041496202,mean
MSFT,large,100-day return,0,-0.045503787675816705,0.07075608165439468,35.417884278199885,mean
MSFT,large,100-day return,1,0.16384421964250867,0.07553023205765752,64.58211572180012,mean
JPM,large,daily return,0,0.0008995122747111225,0.012301296441699817,86.11922852133256,sigma
JPM,large,daily return,1,-0.000431796571465927,0.03472414118288898,13.880771478667445,sigma
JPM,large,rolling volatility,0,0.01211611745377373,0.0036863844673088995,80.94681472822911,sigma
JPM,large,rolling volatility,1,0.027696405417200122,0.01236958495882274,19.053185271770896,sigma
JPM,large,absolute return,0,0.008042065747931782,0.006331870571375123,84.89187609585038,sigma
JPM,large,absolute return,1,0.02823279369683886,0.019583924358545647,15.10812390414962,sigma
JPM,large,20-day return,0,-0.048736570165443645,0.05542277156305678,38.0479251899474,mean
JPM,large,20-day return,1,0.05307801974631991,0.04638207461259911,61.95207481005261,mean
JPM,large,60-day return,0,-0.07188547543510017,0.08430668860344223,41.75920514319111,mean
JPM,large,60-day return,1,0.11256375643583938,0.07703939130200381,58.24079485680889,mean
JPM,large,100-day return,0,-0.04231909050737849,0.10469568130621763,57.393337229690246,mean
JPM,large,100-day return,1,0.1981960061139966,0.1037435377372572,42.60666277030976,mean
XOM,large,daily return,0,0.0003730836665492502,0.010034086541196837,69.46230274693161,sigma
XOM,large,daily return,1,0.000572512336426845,0.02530158399106936,30.53769725306838,sigma
XOM,large,rolling volatility,0,0.009603034740848268,0.003459682673711035,65.98480420806546,sigma
XOM,large,rolling volatility,1,0.02146460968016036,0.008674132532320815,34.015195791934545,sigma
XOM,large,absolute return,0,0.006980483051484761,0.00545233419367759,80.9760374050263,sigma
XOM,large,absolute return,1,0.024620986839699318,0.01666419022380744,19.0239625949737,sigma
XOM,large,20-day return,0,0.00576580027781566,0.033091978638381904,68.70251315020455,mean
XOM,large,20-day return,1,0.013392323363740227,0.1127713135234543,31.29748684979544,mean
XOM,large,60-day return,0,-0.026673580359297212,0.04303197582426975,55.639976621858565,mean
XOM,large,60-day return,1,0.08670094153797334,0.15451695105365976,44.36002337814144,mean
XOM,large,100-day return,0,-0.012661170508416806,0.054127773440392234,63.99766218585622,mean
XOM,large,100-day return,1,0.138814227703426,0.23644244646640986,36.00233781414378,mean
WMT,large,daily return,0,0.0006801470673314941,0.008698592037949824,94.94447691408533,sigma
WMT,large,daily return,1,-0.0014752007149328459,0.03177891693978928,5.05552308591467,sigma
WMT,large,rolling volatility,0,0.008867094711085762,0.00308359698825073,86.3530099357101,sigma
WMT,large,rolling volatility,1,0.02115111814578162,0.008628725992650691,13.646990064289888,sigma
WMT,large,absolute return,0,0.006111971820628062,0.004907426409625047,92.22676797194623,sigma
WMT,large,absolute return,1,0.02315780196461255,0.018464764913467217,7.77323202805377,sigma
WMT,large,20-day return,0,-0.02442672329430729,0.035931977602886106,52.92226767971946,mean
WMT,large,20-day return,1,0.04658225953630711,0.03080050136978089,47.07773232028053,mean
WMT,large,60-day return,0,-0.03778164082715264,0.05122606006042706,47.54529514903565,mean
WMT,large,60-day return,1,0.0880097682981889,0.050281441457477254,52.45470485096435,mean
WMT,large,100-day return,0,-0.032552117426171735,0.0633875450746234,50.49678550555231,mean
WMT,large,100-day return,1,0.12631595218572975,0.061623186127639416,49.50321449444769,mean
KO,large,daily return,0,0.0007292079839628034,0.008035413266724403,93.57101110461718,sigma
KO,large,daily return,1,-0.0022808951071100884,0.0258120722271633,6.428988895382817,sigma
KO,large,rolling volatility,0,0.008029706855153739,0.0028964707426218624,86.52834599649329,sigma
KO,large,rolling volatility,1,0.01794413529203301,0.008938262975631573,13.471654003506723,sigma
KO,large,absolute return,0,0.005346779682230458,0.004409087077848679,90.03506721215663,sigma
KO,large,absolute return,1,0.019176003921124108,0.013794689076801139,9.964932787843367,sigma
KO,large,20-day return,0,-0.026417443781478818,0.03676270869137078,42.86966686148451,mean
KO,large,20-day return,1,0.034666258851276235,0.024438197510434755,57.13033313851549,mean
KO,large,60-day return,0,-0.018086740138824258,0.046369477504234466,57.451782583284626,mean
KO,large,60-day return,1,0.07910604061717934,0.03493114654345675,42.548217416715374,mean
KO,large,100-day return,0,-0.03169132818620367,0.05235306855507527,40.29807130333138,mean
KO,large,100-day return,1,0.08631251517427176,0.04992061888184359,59.70192869666862,mean
IBM,large,daily return,0,0.0006774428431285847,0.00938018041848601,89.71361776738749,sigma
IBM,large,daily return,1,-0.0016873578819450142,0.029420312115013166,10.286382232612509,sigma
IBM,large,rolling volatility,0,0.009667985002967491,0.0033147774869007806,74.9853886616014,sigma
IBM,large,rolling volatility,1,0.019879541846668194,0.007866091538495025,25.014611338398595,sigma
IBM,large,absolute return,0,0.006556780309318415,0.00517300601525288,89.42139099941555,sigma
IBM,large,absolute return,1,0.024682951593973722,0.01739532849765745,10.578609000584454,sigma
IBM,large,20-day return,0,-0.0366554200924444,0.04389881488394253,49.4739918176505,mean
IBM,large,20-day return,1,0.04920214493716064,0.03947332370957689,50.5260081823495,mean
IBM,large,60-day return,0,-0.06318124161861496,0.054986564078980615,43.103448275862064,mean
IBM,large,60-day return,1,0.07690354063943247,0.05601300422978823,56.896551724137936,mean
IBM,large,100-day return,0,-0.07042983822588446,0.06234577685375146,43.191116306253654,mean
IBM,large,100-day return,1,0.09791036315399292,0.06374873702510925,56.808883693746346,mean
GE,large,daily return,0,0.0003862762629176497,0.011646030852452829,70.22209234365869,sigma
GE,large,daily return,1,0.0003272868523024227,0.032001240671253574,29.777907656341323,sigma
GE,large,rolling volatility,0,0.011215835435665455,0.003962111621708245,61.9812974868498,sigma
GE,large,rolling volatility,1,0.025650826066467132,0.010047309183318578,38.0187025131502,sigma
GE,large,absolute return,0,0.007753243992763651,0.006092764171080998,80.50847457627118,sigma
GE,large,absolute return,1,0.029946185182958242,0.020395996965603527,19.491525423728813,sigma
