ticker,cap_tier,group,perm_i_index,perm_j_index,perm_i_features,perm_j_features,agreement_pct
AAPL,large,bb,2,4,60-day return + 20-day return + 100-day return,100-day return + 20-day return + 60-day return,100.0
AAPL,large,bb,2,5,60-day return + 20-day return + 100-day return,100-day return + 60-day return + 20-day return,100.0
AAPL,large,bb,3,0,60-day return + 100-day return + 20-day return,20-day return + 60-day return + 100-day return,100.0
AAPL,large,bb,3,1,60-day return + 100-day return + 20-day return,20-day return + 100-day return + 60-day return,100.0
AAPL,large,bb,3,2,60-day return + 100-day return + 20-day return,60-day return + 20-day return + 100-day return,100.0
AAPL,large,bb,3,3,60-day return + 100-day return + 20-day return,60-day return + 100-day return + 20-day return,100.0
AAPL,large,bb,3,4,60-day return + 100-day return + 20-day return,100-day return + 20-day return + 60-day return,100.0
AAPL,large,bb,3,5,60-day return + 100-day return + 20-day return,100-day return + 60-day return + 20-day return,100.0
AAPL,large,bb,4,0,100-day return + 20-day return + 60-day return,20-day return + 60-day return + 100-day return,100.0
AAPL,large,bb,4,1,100-day return + 20-day return + 60-day return,20-day return + 100-day return + 60-day return,100.0
AAPL,large,bb,4,2,100-day return + 20-day return + 60-day return,60-day return + 20-day return + 100-day return,100.0
AAPL,large,bb,4,3,100-day return + 20-day return + 60-day return,60-day return + 100-day return + 20-day return,100.0
AAPL,large,bb,4,4,100-day return + 20-day return + 60-day return,100-day return + 20-day return + 60-day return,100.0
AAPL,large,bb,4,5,100-day return + 20-day return + 60-day return,100-day return + 60-day return + 20-day return,100.0
AAPL,large,bb,5,0,100-day return + 60-day return + 20-day return,20-day return + 60-day return + 100-day return,100.0
AAPL,large,bb,5,1,100-day return + 60-day return + 20-day return,20-day return + 100-day return + 60-day return,100.0
AAPL,large,bb,5,2,100-day return + 60-day return + 20-day return,60-day return + 20-day return + 100-day return,100.0
AAPL,large,bb,5,3,100-day return + 60-day return + 20-day return,60-day return + 100-day return + 20-day return,100.0
AAPL,large,bb,5,4,100-day return + 60-day return + 20-day return,100-day return + 20-day return + 60-day return,100.0
AAPL,large,bb,5,5,100-day return + 60-day return + 20-day return,100-day return + 60-day return + 20-day return,100.0
MRK,large,vol,0,0,daily return + rolling volatility + absolute return,daily return + rolling volatility + absolute return,100.0
MRK,large,vol,0,1,daily return + rolling volatility + absolute return,daily return + absolute return + rolling volatility,100.0
MRK,large,vol,0,2,daily return + rolling volatility + absolute return,rolling volatility + daily return + absolute return,100.0
MRK,large,vol,0,3,daily return + rolling volatility + absolute return,rolling volatility + absolute return + daily return,100.0
